Generation	ID	Survival_Time	Response_Time	Capture_Time	Luminance_Difference	Contrast_Difference	Colour_Difference	GabRat_Edge_Disruption	BgLocal_Luminance	BgLocal_Contrast	BgLocal_A	BgLocal_B	Target_Luminance	Target_Contrast	Target_A	Target_B	Image_ID	X_Coordinate	Y_Coordinate	Rotation	Flip	speckling_intensity	speckling_sigma	pttn_x	pttn_y	pttn_width	pttn_aspect_ratio	pttn_angle	pttn_coverage	pttn_CS_sigma	pttn_CS_height	pttn_CS_angle	pttn_E_sigma	pttn_E_noise	EE_intensity	EE_sigma	unit_C_0	pttn_L	pttn_A	pttn_B	unit_C_1	top_L	top_A	top_B	unit_C_2	bottom_L	bottom_A	bottom_B	unit_C_N	col_sigma	col_height	Parent1	Parent2
0	Gen0_Mut0_ID12	997	997	1239	12.7375	7.5098	11.2482	0.2396	51.6613	18.8586	2.601	10.1508	64.3988	11.3489	-7.6977	14.674	0.jpg	512.3712	261.9496	45.7211	Horiz	0.9116	0.9354	0.9438	0.5607	0.3104	0.5424	0.5699	0.0858	0.3608	0.9471	0.1698	0.4363	0.7491	0.56	0.3808	0.1361	0.685	0.6209	0.6188	0.4552	0.5257	0.2271	0.8676	0.2751	0.6989	0.3354	0.1083	0.9042	0.1218	0.4814	none	none
0	Gen0_Mut0_ID1	848	848	1136	16.5082	0.3079	2.3872	0.2997	53.8418	20.1742	2.1756	10.3269	37.3335	20.4822	2.3014	12.7108	2.jpg	424.5502	334.1368	-51.5596	none	0.1019	0.895	0.8928	0.7202	0.1379	0.0265	0.4252	0.3446	0.3462	0.1248	0.3432	0.7784	0.0471	0.0281	0.1172	0.6101	0.451	0.8072	0.0361	0.7116	0.1334	0.3374	0.6486	0.4413	0.7229	0.0143	0.761	0.1241	0.3577	0.997	none	none
0	Gen0_Mut0_ID21	685	685	981	33.512	4.4205	14.5817	0.2731	54.1057	17.0653	1.9211	11.1536	20.5937	12.6448	14.5729	3.9038	1.jpg	788.4967	612.3617	-65.3202	none	0.9782	0.9436	0.1201	0.2467	0.4281	0.8512	0.9281	0.6062	0.6191	0.9075	0.2665	0.9131	0.8592	0.3281	0.6181	0.6582	0.7245	0.317	0.5123	0.77	0.3038	0.3101	0.9696	0.0298	0.5115	0.9302	0.8862	0.848	0.046	0.3761	none	none
0	Gen0_Mut0_ID5	584	584	877	7.4991	11.9921	19.3584	0.3648	50.9144	17.848	2.5928	11.9042	58.4136	5.8559	-15.6183	5.339	3.jpg	913.3658	221.3551	66.9676	none	0.9202	0.1943	0.2397	0.1186	0.6313	0.7688	0.0003	0.4584	0.5951	0.8168	0.2813	0.7104	0.9638	0.3481	0.0339	0.5235	0.4762	0.9017	0.391	0.1201	0.2379	0.4136	0.9133	0.0418	0.6799	0.1903	0.0881	0.3305	0.9876	0.4699	none	none
0	Gen0_Mut0_ID16	554	554	784	16.9884	12.3317	16.3844	0.2993	47.6369	20.1668	2.53	10.4785	30.6485	7.8352	-8.9781	-1.184	0.jpg	798.6231	587.3185	62.7794	none	0.9116	0.9354	0.9438	0.5607	0.3104	0.5424	0.5699	0.0858	0.3608	0.9471	0.1698	0.4363	0.7491	0.56	0.3808	0.1361	0.685	0.6209	0.6188	0.4552	0.5257	0.2271	0.8676	0.2751	0.6989	0.3354	0.1083	0.9042	0.1218	0.4814	none	none
0	Gen0_Mut0_ID18	550	550	746	29.2664	17.3145	19.3534	0.1798	49.352	18.4384	1.8744	11.6942	20.0856	1.1239	-15.9732	19.1786	1.jpg	299.2894	244.8619	61.3121	none	0.8097	0.27	0.2076	0.0832	0.8076	0.6728	0.7197	0.8424	0.5907	0.0758	0.1919	0.9348	0.4794	0.7296	0.3661	0.4008	0.4343	0.7773	0.1151	0.3809	0.266	0.3759	0.6186	0.6239	0.827	0.7797	0.136	0.9937	0.3666	0.7803	none	none
0	Gen0_Mut0_ID19	540	540	862	34.0986	19.8192	3.9672	0.2113	50.7525	20.3107	2.4861	11.0987	16.654	0.4915	-0.5522	8.5478	2.jpg	995.833	202.9343	-0.8966	none	0.5839	0.5449	0.5999	0.8756	0.2634	0.098	0.2043	0.5472	0.5097	0.1517	0.3923	0.067	0.737	0.3943	0.9296	0.325	0.3389	0.0422	0.4701	0.2721	0.1706	0.7251	0.3591	0.7062	0.8873	0.6617	0.1214	0.2951	0.2418	0.4256	none	none
0	Gen0_Mut0_ID17	654	654	744	25.9104	17.7945	9.8725	0.3042	53.8608	18.9761	3.6067	11.4196	27.9504	1.1816	12.977	14.5282	3.jpg	511.8035	647.7544	-13.3105	none	0.6959	0.9242	0.5547	0.6896	0.1016	0.6882	0.9637	0.9505	0.6307	0.1001	0.7284	0.3918	0.8512	0.3848	0.8242	0.7176	0.6697	0.0442	0.292	0.0042	0.4595	0.2324	0.3279	0.3612	0.7882	0.8655	0.8961	0.4648	0.5946	0.8043	none	none
0	Gen0_Mut0_ID7	1668	1668	2172	8.5632	4.6827	8.8291	0.3244	53.6963	17.0452	1.7777	11.0262	62.2595	12.3625	6.3385	18.5861	1.jpg	830.1371	615.0084	36.151	Horiz	0.7244	0.8345	0.7571	0.8932	0.9045	0.0603	0.8753	0.1199	0.9609	0.0545	0.7397	0.6643	0.1731	0.8042	0.4057	0.1505	0.1417	0.0292	0.0072	0.9809	0.074	0.6115	0.4452	0.2413	0.0306	0.6594	0.8697	0.2915	0.4233	0.5876	none	none
0	Gen0_Mut0_ID14	1310	1310	1658	15.8625	5.776	8.0701	0.2852	50.802	21.2299	3.3514	10.8385	66.6645	15.4539	-3.8833	7.2626	0.jpg	1085.808	578.5848	9.2438	Horiz	0.4375	0.8284	0.3825	0.6568	0.1707	0.8999	0.2241	0.9979	0.8703	0.0778	0.1368	0.2682	0.9429	0.7556	0.383	0.7331	0.6894	0.3282	0.7611	0.7494	0.0733	0.8301	0.8131	0.3385	0.2382	0.4641	0.2768	0.7784	0.0738	0.3321	none	none
0	Gen0_Mut0_ID2	686	539	686	17.3869	0.9515	15.8298	0.287	52.0014	18.8619	1.98	10.7919	34.6145	17.9104	14.0275	0.5235	2.jpg	360.5597	615.7828	66.4444	none	0.5802	0.9221	0.9473	0.5994	0.7548	0.2503	0.3071	0.2663	0.0055	0.5089	0.2456	0.6999	0.3147	0.1448	0.2634	0.0893	0.8831	0.6572	0.415	0.0235	0.9128	0.4084	0.7375	0.4671	0.2228	0.4039	0.3633	0.5079	0.4552	0.0414	none	none
0	Gen0_Mut0_ID6	1621	1621	1990	6.1307	4.873	10.5193	0.3151	49.1655	16.4736	1.6118	10.5228	55.2962	11.6007	0.3497	0.0795	3.jpg	1150.3333	740.8373	52.553	Horiz	0.002	0.3868	0.1784	0.8546	0.5362	0.4833	0.0193	0.833	0.3265	0.1281	0.0726	0.9854	0.4414	0.3403	0.2208	0.4338	0.4381	0.8469	0.6768	0.4724	0.5086	0.0309	0.01	0.7089	0.773	0.7765	0.1574	0.6155	0.2564	0.5325	none	none
0	Gen0_Mut0_ID23	604	604	842	31.5187	12.6545	20.2055	0.2391	53.6595	18.6598	3.2201	9.6459	22.1408	6.0053	-16.5813	5.6247	0.jpg	886.7339	255.1553	-69.5181	none	0.7096	0.6105	0.8915	0.1192	0.7086	0.9945	0.4092	0.2257	0.9758	0.0094	0.2802	0.5177	0.5939	0.9238	0.3524	0.3989	0.6382	0.8349	0.1615	0.9828	0.2323	0.0412	0.2601	0.8874	0.1207	0.6421	0.5032	0.0416	0.3088	0.7233	none	none
0	Gen0_Mut0_ID8	566	566	723	37.6571	16.1182	16.4331	0.178	49.1247	17.7241	1.812	11.0799	11.4676	1.6059	18.0665	8.6636	1.jpg	388.9486	404.6476	-43.7551	Horiz	0.2925	0.1887	0.1198	0.1124	0.2023	0.2161	0.8547	0.1507	0.0254	0.6245	0.8512	0.1565	0.3187	0.3191	0.8716	0.2941	0.2674	0.5376	0.3428	0.9945	0.4903	0.3673	0.7661	0.0822	0.3088	0.6023	0.6304	0.7814	0.7894	0.8692	none	none
0	Gen0_Mut0_ID10	687	687	985	9.9646	14.1872	4.8809	0.309	53.3168	18.6053	1.9839	10.1701	43.3522	32.7925	6.7967	10.9825	3.jpg	295.9091	725.0159	1.4601	none	0.7244	0.8345	0.7571	0.8932	0.9045	0.0603	0.8753	0.1199	0.9609	0.0545	0.7397	0.6643	0.1731	0.8042	0.4057	0.1505	0.1417	0.0292	0.0072	0.9809	0.074	0.6115	0.4452	0.2413	0.0306	0.6594	0.8697	0.2915	0.4233	0.5876	none	none
